Title:  H2O_1

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 1040.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 1030.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 1020.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 1010.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 1000.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 990.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 980.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 970.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 960.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 950.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 940.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 930.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 920.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 910.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 900.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 890.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 880.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 870.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 860.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
1250.00 850.00 99.999999 60.17 0.85 16.53 3.13 3.45 3.12 6.02 3.23 2.3 0.2 1
