Title:  H2O_1

Phase Volumes:
Pressure Temperature mass V liquid_0 liquid_1 liquid_2 orthopyroxene_0 clinopyroxene_0 feldspar_0 
1250.00 1050.00 99.999999 39.992574 29.977142 1.861360 0.000000 1.119421 0.000000 7.034651 
1250.00 1040.00 99.999999 39.895707 28.857178 1.863232 0.000000 1.286415 0.000000 7.888882 
1250.00 1030.00 99.999999 39.804799 27.827224 1.863807 0.000000 1.434462 0.000000 8.679307 
1250.00 1020.00 99.999999 39.719191 26.877479 1.863275 0.000000 1.566347 0.000000 9.412089 
1250.00 1010.00 99.999999 39.638266 25.999370 1.861802 0.000000 1.684385 0.000000 10.092709 
1250.00 1000.00 99.999999 39.561575 25.185498 1.859521 0.000000 1.790508 0.000000 10.726049 
1250.00 990.00 99.999999 39.488698 24.429499 1.856549 0.000000 1.886334 0.000000 11.316316 
1250.00 980.00 99.999999 39.419266 23.725792 1.852981 0.000000 1.973236 0.000000 11.867256 
1250.00 970.00 99.999999 39.352953 23.069455 1.848901 0.000000 2.052381 0.000000 12.382217 
1250.00 960.00 99.999999 39.289472 22.456128 1.844377 0.000000 2.124769 0.000000 12.864197 
1250.00 950.00 99.999999 39.228566 21.881938 1.839469 0.000000 2.191266 0.000000 13.315892 
1250.00 940.00 99.999999 39.076116 21.266589 1.825382 0.000000 1.628658 1.232928 13.122560 
1250.00 930.00 99.999999 39.012273 20.750140 1.819639 0.000000 1.640051 1.320083 13.482360 
1250.00 920.00 99.999999 38.950748 20.264674 1.813692 0.000000 1.649632 1.402790 13.819960 
1250.00 910.00 99.999999 38.891384 19.808025 1.807554 0.000000 1.657762 1.481351 14.136691 
1250.00 900.00 99.999999 38.834035 19.378243 1.801232 0.000000 1.664759 1.556047 14.433754 
1250.00 890.00 99.999999 38.778571 18.973572 1.794725 0.000000 1.670906 1.627142 14.712226 
1250.00 880.00 99.999999 38.724871 18.592426 1.788026 0.000000 1.676462 1.694886 14.973069 
1250.00 870.00 99.999999 38.672821 18.233376 1.781119 0.000000 1.681668 1.759522 15.217136 
1250.00 860.00 99.999999 38.622275 17.886699 0.008599 1.773929 1.686249 1.822155 15.444643 
1250.00 850.00 99.999999 38.622275 17.869497 0.008598 1.770798 1.685605 1.821454 15.440590 
