Title:  H2O_5

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 98.687905 58.5077 0.830902 16.0709 3.05002 3.35401 3.03989 5.85685 3.14122 2.23938 0.192526 3.71667
1250.00 1040.00 98.700065 58.5005 0.8308 16.0689 3.04964 3.35359 3.03951 5.85613 3.14083 2.23911 0.192502 3.72853
1250.00 1030.00 98.712444 58.4931 0.830696 16.0669 3.04926 3.35317 3.03913 5.85539 3.14043 2.23883 0.192478 3.7406
1250.00 1020.00 98.725041 58.4857 0.83059 16.0648 3.04887 3.35275 3.03874 5.85464 3.14003 2.23854 0.192454 3.75289
1250.00 1010.00 98.266216 58.4952 0.833168 16.13 3.05971 3.33923 2.89628 5.87612 3.15462 2.24899 0.193352 3.77324
1250.00 1000.00 97.786920 58.5059 0.83582 16.1987 3.0713 3.32399 2.74743 5.89812 3.17 2.26002 0.1943 3.7944
1250.00 990.00 97.331332 58.516 0.838306 16.2646 3.08257 3.30823 2.60569 5.91844 3.18474 2.27059 0.195209 3.81562
1250.00 980.00 94.889537 58.7493 0.857641 16.0952 3.1574 3.3445 2.43689 5.78943 3.21842 2.32635 0.200233 3.82469
1250.00 970.00 90.198305 59.2447 0.899086 15.6324 3.31597 3.45019 2.24275 5.48787 3.26142 2.44013 0.210647 3.81481
1250.00 960.00 85.882657 59.7061 0.941322 15.1774 3.47812 3.55967 2.06897 5.21112 3.28203 2.55387 0.221232 3.80022
1250.00 950.00 81.870025 60.1348 0.984764 14.7287 3.64511 3.67389 1.91303 4.95909 3.2797 2.66814 0.232075 3.78077
1250.00 940.00 78.114834 60.5318 1.02971 14.2858 3.81774 3.79333 1.7728 4.73157 3.25442 2.78313 0.243232 3.75644
1250.00 930.00 77.284297 60.724 0.863288 15.5263 3.74343 3.83407 1.56644 3.55372 3.31903 2.81766 0.245846 3.80617
1250.00 920.00 73.657924 61.0802 0.892047 15.1012 3.92835 3.97266 1.45519 3.36362 3.2406 2.93751 0.257949 3.77067
1250.00 910.00 70.238736 61.4076 0.91968 14.6924 4.11986 4.11807 1.35427 3.19056 3.13856 3.05783 0.270506 3.73066
1250.00 900.00 67.039934 61.7079 0.945269 14.3027 4.31629 4.26867 1.2625 3.03304 3.01617 3.17712 0.283413 3.687
1250.00 890.00 64.071400 61.9834 0.967814 13.9339 4.51564 4.4225 1.17884 2.88953 2.87733 3.29381 0.296544 3.6407
1250.00 880.00 61.337416 62.237 0.98628 13.5874 4.71579 4.57747 1.10239 2.75856 2.72624 3.40639 0.309762 3.59279
1250.00 870.00 58.836088 62.4719 0.999636 13.2633 4.91467 4.73156 1.03235 2.63873 2.56712 3.51357 0.322931 3.54424
1250.00 860.00 56.559920 62.6919 1.00688 12.9611 5.11041 4.88296 0.968025 2.52876 2.40386 3.6143 0.335927 3.49594
1250.00 850.00 54.497012 62.9004 1.0071 12.6796 5.30141 5.03012 0.908796 2.42754 2.23993 3.70787 0.348643 3.44862
