Title:  H2O_5

Phase Volumes:
Pressure Temperature mass V liquid_0 liquid_1 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 100.020001 49.289495 41.208482 1.641545 0.000000 0.000000 0.000000 6.439468 
1250.00 1040.00 100.020001 49.118297 41.146171 1.658287 0.000000 0.000000 0.000000 6.313839 
1250.00 1030.00 100.020001 48.947115 41.084577 1.674492 0.000000 0.000000 0.000000 6.188046 
1250.00 1020.00 100.020001 48.775979 41.023684 1.690170 0.000000 0.000000 0.000000 6.062125 
1250.00 1010.00 100.020001 48.615259 40.795821 1.692665 0.144218 0.000000 0.000000 5.982555 
1250.00 1000.00 100.020001 48.454284 40.562629 1.693411 0.294540 0.000000 0.000000 5.903704 
1250.00 990.00 100.020001 48.292143 40.339741 1.693639 0.437462 0.000000 0.000000 5.821301 
1250.00 980.00 100.020001 48.369049 39.262792 1.698988 0.650126 0.000000 0.624943 6.132199 
1250.00 970.00 100.020001 48.718522 37.212479 1.709548 0.924642 0.000000 1.979326 6.892528 
1250.00 960.00 100.020001 49.025770 35.316095 1.717901 1.158507 0.000000 3.249666 7.583603 
1250.00 950.00 100.020001 49.297517 33.543478 1.724406 1.359270 0.000000 4.452878 8.217484 
1250.00 940.00 100.020001 49.537473 31.876250 1.729298 1.532651 0.000000 5.598293 8.800981 
1250.00 930.00 100.020001 49.178129 31.651215 1.701370 0.617555 2.179165 4.370007 8.658817 
1250.00 920.00 100.020001 49.411366 30.021879 1.705160 0.791068 2.106883 5.558011 9.228365 
1250.00 910.00 100.020001 49.611852 28.481268 1.707225 0.937867 2.054445 6.681167 9.749880 
1250.00 900.00 100.020001 49.777298 27.036915 1.707638 1.060938 2.020543 7.732136 10.219128 
1250.00 890.00 100.020001 49.906289 25.694628 1.706497 1.163395 2.003073 8.705607 10.633090 
1250.00 880.00 100.020001 49.998481 24.457437 1.703923 1.248355 1.999474 9.598883 10.990409 
1250.00 870.00 100.020001 50.054570 23.325340 1.700054 1.318802 2.007047 10.411899 11.291427 
1250.00 860.00 100.020001 50.076114 22.295584 1.695030 1.377489 2.023179 11.146865 11.537967 
1250.00 850.00 100.020001 50.065299 21.363228 1.688988 1.426864 2.045494 11.807747 11.732978 
