Title:  H2O_5

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 1.332096 -2.77178e-12 -1.10551e-14 4.36543e-13 0 -7.48496e-13 1.0471e-12 7.71801e-13 6.20475e-14 -7.25296e-13 1.80028e-13 100
1250.00 1040.00 1.319936 -3.91669e-12 -1.31259e-14 2.14404e-13 2.09875e-14 -1.35971e-12 1.36398e-12 -5.85918e-13 3.30914e-14 -1.13902e-12 -1.00015e-12 100
1250.00 1030.00 1.307558 -2.04065e-12 2.65002e-15 3.2465e-13 2.11862e-14 1.67759e-12 6.92455e-13 8.37014e-13 2.9653e-13 1.49974e-13 4.96914e-13 100
1250.00 1020.00 1.294961 -3.15515e-12 -1.3379e-14 3.27809e-13 4.27846e-14 -1.07795e-12 3.53645e-13 1.14565e-12 2.99415e-13 -1.3629e-12 -1.06726e-13 100
1250.00 1010.00 1.753785 14.7652 0.0728602 0.548127 0.190155 1.63442 8.77725 0.328448 0.00424518 2.60903e-13 -7.8808e-14 73.6793
1250.00 1000.00 2.233081 23.6842 0.119874 0.884686 0.298805 2.6678 14.0331 0.555937 0.00710199 5.8544e-14 1.14528e-13 57.7485
1250.00 990.00 2.688670 29.2182 0.151195 1.09655 0.36041 3.34936 17.2519 0.725226 0.00914483 2.31193e-13 2.43196e-13 47.838
1250.00 980.00 5.130465 38.8484 0.12063 11.4483 0.271996 2.65906 13.4032 5.58298 0.897731 0.049482 -5.99663e-14 26.7183
1250.00 970.00 9.821697 43.8041 0.09204 17.9174 0.193966 2.01578 9.94817 8.45105 1.61127 0.0920484 -5.39786e-15 15.8741
1250.00 960.00 14.137344 45.7148 0.0818236 19.9844 0.161984 1.7886 8.65165 9.22768 1.98979 0.117884 -2.65767e-15 12.2814
1250.00 950.00 18.149976 46.8742 0.075886 20.9457 0.141872 1.66493 7.89973 9.47655 2.28598 0.141002 1.88323e-14 10.4941
1250.00 940.00 21.905167 47.7314 0.0714273 21.4592 0.126811 1.58339 7.37353 9.51348 2.5465 0.16418 -5.73628e-15 9.43001
1250.00 930.00 22.735705 47.5458 0.672131 16.9803 0.514247 1.52565 7.8704 13.3426 2.35274 0.142457 -2.19779e-14 9.05373
1250.00 920.00 26.362078 48.3635 0.618072 17.968 0.441768 1.45597 7.31405 12.5272 2.7048 0.175605 8.2386e-15 8.43106
1250.00 910.00 29.781265 49.0513 0.584355 18.603 0.390381 1.40194 6.87942 11.8833 3.00697 0.208931 -4.63991e-15 7.99037
1250.00 900.00 32.980067 49.6394 0.564862 19.016 0.352824 1.35926 6.53007 11.3604 3.26853 0.242757 1.95148e-15 7.66595
1250.00 890.00 35.948601 50.1449 0.556094 19.284 0.324816 1.32534 6.24419 10.9285 3.49515 0.277091 -4.20978e-15 7.4199
1250.00 880.00 38.682586 50.5795 0.555913 19.4554 0.303642 1.29851 6.00741 10.568 3.69105 0.311784 -3.57159e-15 7.22877
1250.00 870.00 41.183914 50.9518 0.56297 19.5621 0.287487 1.27752 5.80956 10.2649 3.85978 0.346624 2.42023e-14 7.07729
1250.00 860.00 43.460081 51.269 0.576407 19.6254 0.275095 1.2614 5.64308 10.0086 4.00455 0.381391 1.35392e-15 6.95511
1250.00 850.00 45.522990 51.537 0.595658 19.6604 0.265558 1.24934 5.50213 9.79079 4.12825 0.415887 1.42742e-14 6.855
