Title:  H2O_5

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1250.00 1050.00 100.020001 0.9866817020629447 0.869354 289.844218 -1277556.238805 49.289495 -5674.107791 13074.645863 146.299801 -7.817 -7.817 2.303100 0.206864 3.563 1 0.000
1250.00 1040.00 100.020001 0.9868032754289392 0.871456 288.714820 -1279044.948108 49.118297 -5578.327003 13048.734341 146.264737 -8.013 -8.013 2.305836 0.209054 3.622 1 0.000
1250.00 1030.00 100.020001 0.9869270369996987 0.873577 287.577419 -1280532.832835 48.947115 -5482.291620 13021.886246 146.228837 -8.213 -8.213 2.308573 0.211304 3.681 1 0.000
1250.00 1020.00 100.020001 0.9870529833774117 0.875715 286.431897 -1282019.885969 48.775979 -5386.019955 12994.079213 146.192093 -8.417 -8.417 2.311312 0.213615 3.741 1 0.000
1250.00 1010.00 100.020001 0.9824656531934799 0.873974 285.170657 -1283644.503889 48.615259 -5323.271991 12999.005026 145.986456 -8.575 -8.575 2.312773 0.286249 3.815 1 0.000
1250.00 1000.00 100.020001 0.9776736564356761 0.872081 283.898536 -1285270.464518 48.454284 -5260.899089 13004.903381 145.772247 -8.729 -8.729 2.314153 0.360276 3.891 1 0.000
1250.00 990.00 100.020001 0.9731186814007313 0.870398 282.625463 -1286884.911119 48.292143 -5195.784976 13008.607049 145.565250 -8.882 -8.882 2.315572 0.429585 3.968 1 0.000
1250.00 980.00 100.020001 0.9487056132291383 0.846859 280.940912 -1289003.182414 48.369049 -5418.084476 13349.320534 144.902252 -9.014 -9.014 2.316538 0.692626 4.069 1 0.000
1250.00 970.00 100.020001 0.9018026749651775 0.798916 278.806205 -1291667.700743 48.718522 -5969.000634 14099.945701 143.752859 -9.118 -9.118 2.317410 1.002572 4.200 1 0.000
1250.00 960.00 100.020001 0.8586548292348476 0.755399 276.760755 -1294200.339810 49.025770 -6469.240860 14824.668184 142.730596 -9.221 -9.221 2.319022 1.178920 4.330 1 0.000
1250.00 950.00 100.020001 0.8185365361343745 0.715409 274.787133 -1296624.298931 49.297517 -6927.494966 15531.993004 141.815167 -9.324 -9.324 2.321376 1.293689 4.461 1 0.000
1250.00 940.00 100.020001 0.7809921313587886 0.678386 272.873532 -1298955.397971 49.537473 -7348.614752 16226.326431 140.992268 -9.427 -9.427 2.324462 1.374923 4.591 1 0.000
1250.00 930.00 100.020001 0.7726884200774220 0.678200 270.927011 -1301345.842285 49.178129 -7242.348976 16235.408882 140.120266 -9.771 -9.771 2.317191 1.436646 4.794 1 0.000
1250.00 920.00 100.020001 0.7364319392165505 0.642100 269.060447 -1303582.298262 49.411366 -7652.295850 16968.668014 139.417687 -9.887 -9.887 2.321614 1.490703 4.936 1 0.000
1250.00 910.00 100.020001 0.7022469002092805 0.608494 267.233114 -1305753.476515 49.611852 -8026.450983 17689.290957 138.782423 -10.003 -10.003 2.326672 1.533271 5.082 1 0.000
1250.00 900.00 100.020001 0.6702652820029000 0.577463 265.445037 -1307860.132474 49.777298 -8361.561494 18391.037067 138.211216 -10.121 -10.121 2.332266 1.568034 5.231 1 0.000
1250.00 890.00 100.020001 0.6405858730248623 0.549052 263.696048 -1309903.247018 49.906289 -8655.259002 19068.391932 137.700735 -10.240 -10.240 2.338276 1.597349 5.384 1 0.000
1250.00 880.00 100.020001 0.6132515001128721 0.523243 261.985315 -1311884.563632 49.998481 -8906.384656 19717.161562 137.247396 -10.361 -10.361 2.344581 1.622788 5.539 1 0.000
1250.00 870.00 100.020001 0.5882432204105007 0.499962 260.311173 -1313806.758976 50.054570 -9115.019679 20334.697888 136.847396 -10.483 -10.483 2.351055 1.645436 5.698 1 0.000
1250.00 860.00 100.020001 0.5654860939803016 0.479083 258.671164 -1315673.362368 50.076114 -9282.320842 20919.844054 136.496858 -10.605 -10.605 2.357585 1.666063 5.859 1 0.000
1250.00 850.00 100.020001 0.5448611365607610 0.460443 257.062204 -1317488.535046 50.065299 -9410.260917 21472.711062 136.192045 -10.727 -10.727 2.364068 1.685220 6.022 1 0.000
