Title:  ONELIQ

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1040.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1030.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1020.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1010.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1000.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 990.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 980.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 970.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 960.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 950.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 940.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 930.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 920.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 910.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 900.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 890.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 880.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 870.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 860.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 850.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
