Title:  ONELIQ

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 97.818926 60.2644 0.743514 16.4225 1.88003 2.87874 2.96706 6.03155 3.23046 2.31039 0.204459 3.06689
1250.00 1040.00 97.113860 60.4626 0.729527 16.5162 1.73596 2.76779 2.84307 6.0688 3.25383 2.32717 0.205944 3.08916
1250.00 1030.00 96.241103 60.659 0.717986 16.6386 1.60675 2.63837 2.66993 6.11294 3.2832 2.34827 0.207811 3.11717
1250.00 1020.00 95.420347 60.8438 0.706662 16.7565 1.48922 2.50973 2.50739 6.15335 3.3113 2.36847 0.209599 3.14398
1250.00 1010.00 94.646735 61.0177 0.695591 16.8705 1.38225 2.38216 2.35477 6.19002 3.33823 2.38783 0.211312 3.16968
1250.00 1000.00 90.599124 61.6741 0.649881 17.361 1.25431 2.29557 2.07549 5.1915 3.47154 2.49451 0.220753 3.31129
1250.00 990.00 89.215819 61.9539 0.626547 17.5457 1.16111 2.18351 1.91845 4.97013 3.52071 2.53318 0.224175 3.36263
1250.00 980.00 86.510534 62.3934 0.612986 17.4373 1.08262 2.0661 1.77687 4.7674 3.55622 2.60814 0.231186 3.46779
1250.00 970.00 83.634331 62.8572 0.601113 17.2582 1.01212 1.94705 1.64864 4.57736 3.58019 2.69194 0.239136 3.58704
1250.00 960.00 80.933238 63.3018 0.588517 17.0803 0.947429 1.82913 1.53189 4.39708 3.59472 2.77521 0.247117 3.70676
1250.00 950.00 78.390473 63.7272 0.575413 16.9045 0.888046 1.71328 1.42545 4.22607 3.59992 2.85794 0.255133 3.827
1250.00 940.00 75.991747 64.1336 0.561976 16.7315 0.833497 1.60029 1.32824 4.06382 3.59602 2.94009 0.263186 3.9478
1250.00 930.00 73.724772 64.5212 0.548343 16.5617 0.783341 1.49082 1.23931 3.90984 3.58327 3.02162 0.271279 4.06919
1250.00 920.00 71.340796 64.9391 0.536464 16.3686 0.7364 1.38093 1.15505 3.75963 3.55736 3.11148 0.280345 4.17464
1250.00 910.00 67.421872 65.6883 0.538547 15.9895 0.687534 1.24432 1.06024 3.59252 3.47811 3.26801 0.29664 4.15632
1250.00 900.00 63.789905 66.4072 0.541366 15.6322 0.642231 1.11598 0.975819 3.44065 3.37271 3.42515 0.313529 4.13313
1250.00 890.00 60.450294 67.094 0.544754 15.2986 0.600321 0.996954 0.900394 3.3023 3.24507 3.58085 0.33085 4.1059
1250.00 880.00 57.401048 67.7473 0.548492 14.9896 0.561635 0.887788 0.832767 3.17574 3.09957 3.73312 0.348426 4.0755
1250.00 870.00 54.633092 68.367 0.552324 14.705 0.526001 0.788594 0.7719 3.05939 2.94071 3.88023 0.366078 4.0428
1250.00 860.00 52.131716 68.9532 0.555981 14.444 0.493234 0.699145 0.716905 2.95177 2.7728 4.02075 0.383644 4.00857
1250.00 850.00 49.878399 69.5069 0.559188 14.2054 0.463144 0.61897 0.667019 2.85157 2.59976 4.15362 0.400975 3.97349
