Title:  ONELIQ

Phase Volumes:
Pressure Temperature mass V liquid_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
1250.00 1050.00 100.010001 42.611811 42.137430 0.000000 0.000000 0.000000 0.474381 0.000000 
1250.00 1040.00 100.010001 42.532653 41.867969 0.130868 0.000000 0.000000 0.533816 0.000000 
1250.00 1030.00 100.010001 42.445303 41.537252 0.321327 0.000000 0.000000 0.586725 0.000000 
1250.00 1020.00 100.010001 42.360253 41.223434 0.502016 0.000000 0.000000 0.634804 0.000000 
1250.00 1010.00 100.010001 42.277305 40.924936 0.673812 0.000000 0.000000 0.678557 0.000000 
1250.00 1000.00 100.010001 42.027101 39.451605 0.126369 1.747021 0.000000 0.702106 0.000000 
1250.00 990.00 100.010001 41.912050 38.931588 0.114405 2.133412 0.000000 0.732646 0.000000 
1250.00 980.00 100.010001 41.796795 37.890205 0.264780 2.215806 0.654004 0.771999 0.000000 
1250.00 970.00 100.010001 41.685410 36.775142 0.438183 2.222393 1.439193 0.810499 0.000000 
1250.00 960.00 100.010001 41.578544 35.721990 0.594121 2.225881 2.191241 0.845310 0.000000 
1250.00 950.00 100.010001 41.475604 34.724796 0.734052 2.227980 2.912047 0.876728 0.000000 
1250.00 940.00 100.010001 41.376106 33.778542 0.859341 2.229965 3.603233 0.905025 0.000000 
1250.00 930.00 100.010001 41.279653 32.878956 0.971274 2.232756 4.266218 0.930449 0.000000 
1250.00 920.00 100.010001 41.244228 31.908828 1.084441 2.221603 4.984540 0.954398 0.090418 
1250.00 910.00 100.010001 41.614809 30.188788 1.269490 2.116519 6.246719 0.983152 0.810141 
1250.00 900.00 100.010001 41.944923 28.585929 1.420188 2.041334 7.420861 1.007435 1.469175 
1250.00 890.00 100.010001 42.233430 27.104856 1.541172 1.992302 8.502618 1.027655 2.064827 
1250.00 880.00 100.010001 42.480522 25.746646 1.637101 1.965138 9.490899 1.044262 2.596476 
1250.00 870.00 100.010001 42.687564 24.508939 1.712399 1.955529 10.387552 1.057706 3.065440 
1250.00 860.00 100.010001 42.856808 23.386558 1.771066 1.959482 11.196702 1.068415 3.474586 
1250.00 850.00 100.010001 42.991076 22.372339 1.816595 1.973520 11.924004 1.076773 3.827844 
