Title:  REF

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 0.000000 ---
1250.00 1040.00 0.000000 ---
1250.00 1030.00 0.137844 56.0598 0.247905 2.15362 0.762461 6.19284 33.3004 1.26532 0.0176444 5.29924e-12 7.56222e-14 7.67997e-13
1250.00 1020.00 0.643331 56.0173 0.254021 2.16621 0.747655 6.29655 33.165 1.33485 0.0183906 -5.08033e-14 -1.24816e-12 1.55448e-13
1250.00 1010.00 2.160132 53.3652 0.149884 14.9269 0.418108 3.67362 18.9796 7.14174 1.27394 0.070935 3.86332e-14 0
1250.00 1000.00 5.265227 52.2879 0.101035 20.8151 0.262641 2.42581 12.3318 9.73167 1.9338 0.110234 -8.63347e-14 -4.52577e-15
1250.00 990.00 8.155785 52.1505 0.0897309 22.2531 0.217781 2.11414 10.58 10.2989 2.16972 0.126157 1.02323e-14 0
1250.00 980.00 10.857222 52.1839 0.0850369 22.8908 0.19305 1.9698 9.70802 10.5009 2.33029 0.138205 1.67581e-14 9.21087e-15
1250.00 970.00 13.390959 52.2794 0.0825988 23.2413 0.17571 1.88491 9.15184 10.5711 2.46411 0.149116 -2.0437e-14 -1.96912e-15
1250.00 960.00 15.775104 52.4045 0.0811347 23.4549 0.162012 1.82801 8.74646 10.5782 2.58509 0.15969 -7.19709e-15 1.58485e-15
1250.00 950.00 18.025004 52.5459 0.0801262 23.5918 0.150446 1.78664 8.42608 10.5503 2.69853 0.170243 1.15949e-14 6.21994e-15
1250.00 940.00 20.162991 52.6954 0.0792895 23.6807 0.140238 1.75446 8.157 10.5 2.80744 0.180992 -5.63085e-15 0.00450787
1250.00 930.00 21.079923 52.2805 0.739893 18.6852 0.56377 1.6815 8.65404 14.6489 2.58921 0.156993 2.73197e-14 4.74406e-15
1250.00 920.00 24.709007 52.4605 0.674546 19.4862 0.479756 1.58561 7.94945 13.5943 2.92879 0.19009 -8.58151e-15 0.650815
1250.00 910.00 28.198807 52.6919 0.631563 19.9845 0.419721 1.51184 7.40286 12.7694 3.22565 0.224039 -2.88227e-16 1.13845
1250.00 900.00 31.464067 52.9406 0.606228 20.2846 0.37656 1.45519 6.97517 12.119 3.48189 0.258482 1.78738e-14 1.50225
1250.00 890.00 34.494675 53.186 0.593773 20.4596 0.344757 1.41108 6.63223 11.5937 3.70351 0.29345 1.35465e-14 1.78186
1250.00 880.00 37.286193 53.4164 0.591378 20.5544 0.320932 1.3766 6.35261 11.1627 3.89482 0.328799 -5.68587e-15 2.00138
1250.00 870.00 39.840477 53.6253 0.597306 20.5977 0.302888 1.34977 6.12182 10.805 4.05936 0.364315 7.03969e-15 2.1765
1250.00 860.00 42.165096 53.8094 0.610466 20.6085 0.28913 1.32913 5.92952 10.5058 4.2003 0.399775 -4.88168e-15 2.31796
1250.00 850.00 44.272133 53.9675 0.630144 20.5996 0.278602 1.31356 5.76799 10.2537 4.32051 0.434977 1.21557e-15 2.4334
