Title:  REF

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1250.00 1050.00 100.010001 1.0000000000000000 1.000000 274.780645 -1279904.890191 42.647949 -661.633327 5595.272521 143.054815 -7.868 -7.868 2.345013 0.000000 3.914 0.766719 0.000
1250.00 1040.00 100.010001 1.0000000000000000 1.000000 273.679424 -1281356.457998 42.592056 -658.779224 5583.239428 143.013405 -8.065 -8.065 2.348090 0.000000 3.982 0.76453 0.000
1250.00 1030.00 100.010001 0.9986216946619493 0.998987 272.537748 -1282849.814651 42.529745 -655.745445 5569.123277 142.919336 -8.251 -8.251 2.350672 3.198447 4.054 0.763118 0.000
1250.00 1020.00 100.010001 0.9935673320926542 0.995266 271.302417 -1284453.459359 42.450212 -652.224516 5549.766303 142.686341 -8.398 -8.398 2.351916 3.201011 4.137 0.763753 0.000
1250.00 1010.00 100.010001 0.9784008437288894 0.982732 269.836344 -1286341.258140 42.354234 -646.706560 5517.635305 142.191515 -8.538 -8.538 2.350869 2.953485 4.212 0.776244 0.000
1250.00 1000.00 100.010001 0.9473529948172870 0.956232 268.016845 -1288666.895890 42.232596 -637.991374 5465.704592 141.289903 -8.663 -8.663 2.346088 2.848458 4.272 0.808918 0.000
1250.00 990.00 100.010001 0.9184503033156951 0.931368 266.247825 -1290910.317698 42.116476 -629.603408 5416.458602 140.451206 -8.789 -8.789 2.341672 2.821527 4.330 0.841322 0.000
1250.00 980.00 100.010001 0.8914386419626622 0.907950 264.522665 -1293080.860896 42.005184 -621.502687 5369.564519 139.667923 -8.916 -8.916 2.337600 2.807956 4.386 0.873488 0.000
1250.00 970.00 100.010001 0.8661038017238657 0.885818 262.835721 -1295186.450511 41.898142 -613.655937 5324.739901 138.933672 -9.044 -9.044 2.333857 2.799101 4.440 0.905441 0.000
1250.00 960.00 100.010001 0.8422647366932920 0.864837 261.182154 -1297233.840798 41.794869 -606.035482 5281.744108 138.243000 -9.174 -9.174 2.330425 2.792479 4.492 0.937201 0.000
1250.00 950.00 100.010001 0.8197679866553461 0.844891 259.557801 -1299228.812429 41.694957 -598.618312 5240.371363 137.591228 -9.306 -9.306 2.327288 2.787114 4.542 0.968778 0.000
1250.00 940.00 100.010001 0.7983902554649827 0.825726 257.957470 -1301178.267363 41.600547 -594.238628 5204.216402 136.972991 -9.440 -9.440 2.324468 2.781145 4.591 1 0.000
1250.00 930.00 100.010001 0.7892218477170904 0.823356 256.018899 -1303559.553763 41.365849 -591.913493 5164.617147 136.034239 -9.783 -9.783 2.317464 2.884884 4.796 0.998834 0.000
1250.00 920.00 100.010001 0.7529346413384964 0.777810 254.183106 -1305759.089759 41.700276 -1076.556883 5806.855786 135.281677 -9.900 -9.900 2.321605 2.666808 4.935 1 0.000
1250.00 910.00 100.010001 0.7180401318921704 0.734519 252.377109 -1307904.918570 42.020315 -1546.492073 6462.339635 134.586708 -10.017 -10.017 2.326642 2.527776 5.081 1 0.000
1250.00 900.00 100.010001 0.6853907935569850 0.694732 250.612012 -1309984.502430 42.305456 -1977.789470 7096.724988 133.954453 -10.135 -10.135 2.332212 2.436337 5.229 1 0.000
1250.00 890.00 100.010001 0.6550877487546288 0.658444 248.887677 -1311998.818069 42.554262 -2368.090969 7704.382732 133.381354 -10.255 -10.255 2.338196 2.373270 5.382 1 0.000
1250.00 880.00 100.010001 0.6271753528328015 0.625583 247.203300 -1313949.611831 42.766388 -2716.272748 8281.036353 132.863589 -10.375 -10.375 2.344472 2.328572 5.537 1 0.000
1250.00 870.00 100.010001 0.6016350712751111 0.596008 245.557231 -1315839.577525 42.942547 -3022.480576 8823.999940 132.397096 -10.497 -10.497 2.350915 2.296485 5.695 1 0.000
1250.00 860.00 100.010001 0.5783912034105558 0.569522 243.947012 -1317672.276929 43.084334 -3287.965746 9332.131219 131.977733 -10.619 -10.619 2.357411 2.273436 5.856 1 0.000
1250.00 850.00 100.010001 0.5573229456405470 0.545892 242.369551 -1319451.915390 43.193986 -3514.823872 9805.613947 131.601486 -10.741 -10.741 2.363854 2.257083 6.019 1 0.000
