Title:  SIO2_H

Bulk Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1040.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1030.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1020.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1010.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1000.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 990.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 980.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 970.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 960.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 950.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 940.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 930.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 920.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 910.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 900.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 890.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 880.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 870.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 860.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 850.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
