Title:  SIO2_H

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1040.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1030.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1020.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1010.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 1000.00 100.009998 61.6638 0.769923 16.1584 2.55974 2.81972 1.86981 5.05949 3.21968 2.70973 0.169983 2.9997
1250.00 990.00 98.621718 61.8095 0.780761 15.9477 2.59578 2.85941 1.89613 4.93779 3.21399 2.74466 0.172376 3.04193
1250.00 980.00 96.695404 62.0077 0.796315 15.6527 2.64749 2.91637 1.93391 4.77177 3.20109 2.79434 0.17581 3.10253
1250.00 970.00 94.513430 62.2204 0.814186 15.3755 2.70733 2.96763 1.90754 4.61154 3.1888 2.85304 0.179869 3.17415
1250.00 960.00 92.001442 62.4568 0.835169 15.1205 2.7784 3.01018 1.79385 4.45621 3.17915 2.92412 0.18478 3.26082
1250.00 950.00 89.624131 62.6802 0.856105 14.8694 2.84969 3.05311 1.68808 4.30931 3.1629 2.99427 0.189681 3.34731
1250.00 940.00 87.369193 62.891 0.877018 14.6221 2.9212 3.09643 1.58958 4.17059 3.14031 3.06351 0.194577 3.4337
1250.00 930.00 85.226191 63.0898 0.897926 14.3786 2.99296 3.14011 1.49776 4.03975 3.11168 3.13183 0.199469 3.52004
1250.00 920.00 83.186205 63.2773 0.918846 14.1388 3.06498 3.1841 1.4121 3.91647 3.07736 3.19925 0.204361 3.60637
1250.00 910.00 82.095553 63.423 0.839701 14.7911 3.04859 3.23243 1.27968 3.18827 3.09548 3.24035 0.207076 3.65428
1250.00 900.00 80.240952 63.587 0.844315 14.6146 3.11552 3.2797 1.20501 3.05202 3.04688 3.30428 0.211862 3.73874
1250.00 890.00 77.756228 63.8381 0.857767 14.3546 3.21304 3.35144 1.12888 2.91177 2.96626 3.39221 0.218632 3.7673
1250.00 880.00 74.603934 64.1839 0.882745 14.0055 3.34824 3.45389 1.05169 2.7694 2.84167 3.50797 0.22787 3.72713
1250.00 870.00 71.670721 64.5091 0.904599 13.6773 3.48414 3.55797 0.981018 2.63849 2.70477 3.62029 0.237196 3.68514
1250.00 860.00 68.957486 64.8162 0.922095 13.3701 3.61948 3.66237 0.916175 2.51785 2.55907 3.72798 0.246529 3.64215
1250.00 850.00 66.460400 65.1088 0.933663 13.0831 3.75303 3.76578 0.856551 2.40646 2.40795 3.82999 0.255791 3.59895
