Title:  SIO2_H

Phase Volumes:
Pressure Temperature mass V liquid_0 liquid_1 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 100.009998 43.264236 41.919851 1.344385 0.000000 0.000000 0.000000 0.000000 
1250.00 1040.00 100.009998 43.209401 41.849974 1.359427 0.000000 0.000000 0.000000 0.000000 
1250.00 1030.00 100.009998 43.154687 41.780730 1.373957 0.000000 0.000000 0.000000 0.000000 
1250.00 1020.00 100.009998 43.100097 41.712112 1.387985 0.000000 0.000000 0.000000 0.000000 
1250.00 1010.00 100.009998 43.045632 41.644111 1.401521 0.000000 0.000000 0.000000 0.000000 
1250.00 1000.00 100.009998 42.991294 41.576718 1.414576 0.000000 0.000000 0.000000 0.000000 
1250.00 990.00 100.009998 42.917131 40.961140 1.434483 0.000000 0.000000 0.521509 0.000000 
1250.00 980.00 100.009998 42.834982 40.132651 1.456348 0.000000 0.000000 1.245982 0.000000 
1250.00 970.00 100.009998 42.742273 39.217441 1.470722 0.064026 0.000000 1.990084 0.000000 
1250.00 960.00 100.009998 42.636256 38.191367 1.474972 0.209728 0.000000 2.760189 0.000000 
1250.00 950.00 100.009998 42.533542 37.216539 1.478369 0.341329 0.000000 3.497305 0.000000 
1250.00 940.00 100.009998 42.433820 36.288353 1.480999 0.460464 0.000000 4.204004 0.000000 
1250.00 930.00 100.009998 42.336832 35.402924 1.482937 0.568553 0.000000 4.882418 0.000000 
1250.00 920.00 100.009998 42.242361 34.556952 1.484249 0.666832 0.000000 5.534329 0.000000 
1250.00 910.00 100.009998 42.072921 34.152795 1.475345 0.119769 1.326754 4.998258 0.000000 
1250.00 900.00 100.009998 41.978465 33.379873 1.475320 0.182409 1.372764 5.568099 0.000000 
1250.00 890.00 100.009998 42.065642 32.288445 1.476124 0.269478 1.381034 6.368772 0.281789 
1250.00 880.00 100.009998 42.342966 30.857825 1.477464 0.375997 1.357793 7.411493 0.862393 
1250.00 870.00 100.009998 42.585565 29.524976 1.477425 0.463953 1.350903 8.378193 1.390114 
1250.00 860.00 100.009998 42.793676 28.291328 1.476086 0.536429 1.357602 9.267699 1.864532 
1250.00 850.00 100.009998 42.968257 27.156082 1.473503 0.596446 1.375098 10.080678 2.286449 
