Title:  SIO2_L

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 95.562311 56.7796 0.845562 16.6227 3.39664 3.66263 3.61696 6.15725 3.54005 2.00916 0.230216 3.13931
1250.00 1040.00 93.880477 56.8842 0.840838 16.8375 3.42841 3.67935 3.37825 5.87693 3.59944 2.04515 0.234341 3.19555
1250.00 1030.00 92.325712 56.9922 0.832527 17.0361 3.45838 3.69456 3.15563 5.60754 3.65582 2.07959 0.238287 3.24937
1250.00 1020.00 90.884824 57.1034 0.820596 17.2192 3.48672 3.70836 2.94802 5.34884 3.70932 2.11256 0.242065 3.30088
1250.00 1010.00 89.546543 57.2177 0.805064 17.3876 3.5136 3.72084 2.75443 5.10059 3.76007 2.14414 0.245682 3.35021
1250.00 1000.00 87.498671 57.3753 0.798888 17.3678 3.57897 3.76245 2.57663 4.86056 3.80688 2.19241 0.251432 3.42862
1250.00 990.00 84.777510 57.5659 0.803603 17.1614 3.68584 3.83591 2.41463 4.63113 3.84495 2.25849 0.259503 3.53867
1250.00 980.00 82.225660 57.743 0.806036 16.9541 3.79324 3.91017 2.26482 4.41482 3.87393 2.32377 0.267556 3.6485
1250.00 970.00 79.821372 57.9069 0.806112 16.7468 3.9014 3.98542 2.12616 4.21103 3.89385 2.38837 0.275615 3.75839
1250.00 960.00 77.546804 58.0576 0.803743 16.54 4.0105 4.06182 1.99772 4.01915 3.90476 2.45237 0.2837 3.86863
1250.00 950.00 73.560777 58.3695 0.826592 16.0882 4.22834 4.22495 1.85346 3.79092 3.88728 2.57039 0.299072 3.86128
1250.00 940.00 69.393362 58.6762 0.855711 15.5928 4.48405 4.42068 1.71882 3.57534 3.83258 2.70363 0.317033 3.8231
1250.00 930.00 65.423820 58.9401 0.885616 15.1072 4.75784 4.63336 1.59761 3.38148 3.74283 2.84071 0.336269 3.77699
1250.00 920.00 61.675903 59.1613 0.915814 14.6362 5.04851 4.86166 1.48826 3.20783 3.62022 2.97975 0.356703 3.72368
1250.00 910.00 58.175747 59.3416 0.945682 14.1844 5.3536 5.1031 1.38942 3.05277 3.46862 3.11831 0.378164 3.66431
1250.00 900.00 54.944896 59.4839 0.974515 13.7557 5.66959 5.3542 1.29987 2.91453 3.29326 3.25365 0.400401 3.60038
1250.00 890.00 51.996023 59.5924 1.00157 13.353 5.9923 5.61091 1.21853 2.79125 3.10028 3.38309 0.423109 3.53356
1250.00 880.00 49.331322 59.6723 1.02607 12.9781 6.31726 5.86899 1.14441 2.681 2.89613 3.50427 0.445964 3.46553
1250.00 870.00 46.943071 59.7293 1.04731 12.6313 6.6402 6.12443 1.07666 2.58195 2.68694 3.61543 0.468653 3.39782
1250.00 860.00 44.795483 59.771 1.06494 12.3092 6.96044 6.37639 1.01485 2.49104 2.47644 3.71601 0.491121 3.32854
1250.00 850.00 42.880758 59.8018 1.07823 12.012 7.27361 6.62097 0.958308 2.40753 2.26982 3.80482 0.513051 3.25995
