Title:  SIO2_L

Phase Masses:
Pressure Temperature mass liquid_0 liquid_1 liquid_2 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 99.990001 88.522880 7.039431 0.000000 0.785936 3.641754 0.000000 0.000000 
1250.00 1040.00 99.990001 86.833349 7.047128 0.000000 0.789518 5.320006 0.000000 0.000000 
1250.00 1030.00 99.990001 85.274559 7.051153 0.000000 0.800841 6.863448 0.000000 0.000000 
1250.00 1020.00 99.990001 83.832742 7.052082 0.000000 0.819639 8.285539 0.000000 0.000000 
1250.00 1010.00 99.990001 82.496138 7.050406 0.000000 0.845568 9.597890 0.000000 0.000000 
1250.00 1000.00 99.990001 80.431675 7.066995 0.000000 1.160697 10.328687 1.001947 0.000000 
1250.00 990.00 99.990001 77.676336 7.101174 0.000000 1.731516 10.503808 2.977167 0.000000 
1250.00 980.00 99.990001 75.094323 7.131336 0.000000 2.252238 10.647957 4.864147 0.000000 
1250.00 970.00 99.990001 72.663557 7.157816 0.000000 2.727987 10.768221 6.672421 0.000000 
1250.00 960.00 99.990001 70.365932 7.180873 0.000000 3.163231 10.870323 8.409643 0.000000 
1250.00 950.00 99.990001 66.331388 7.229389 0.000000 3.907861 10.559285 11.802464 0.159615 
1250.00 940.00 99.990001 62.117122 7.276240 0.000000 4.611504 10.234057 15.404058 0.347020 
1250.00 930.00 99.990001 58.108456 7.315363 0.000000 5.207411 9.984935 18.844890 0.528946 
1250.00 920.00 99.990001 54.329131 7.346772 0.000000 5.704881 9.811492 22.094338 0.703387 
1250.00 910.00 99.990001 50.805089 7.370658 0.000000 6.114290 9.708418 25.123286 0.868259 
1250.00 900.00 99.990001 47.557443 7.387452 0.000000 6.446961 9.666714 27.909657 1.021774 
1250.00 890.00 99.990001 44.598215 7.397808 0.000000 6.714635 9.675251 30.441403 1.162689 
1250.00 880.00 99.990001 41.928791 7.402531 0.000000 6.928809 9.722330 32.717131 1.290409 
1250.00 870.00 99.990001 39.540578 7.402493 0.000000 7.100116 9.796945 34.744911 1.404959 
1250.00 860.00 99.990001 37.367526 7.398492 0.029464 7.237249 9.891594 36.556710 1.508966 
1250.00 850.00 99.990001 35.415536 7.391259 0.073963 7.347974 9.997819 38.161341 1.602110 
