Title:  SIO2_L

Phase Volumes:
Pressure Temperature mass V liquid_0 liquid_1 liquid_2 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 99.990001 41.950541 38.743060 1.829080 0.000000 0.246267 1.132134 0.000000 0.000000 
1250.00 1040.00 99.990001 41.810092 38.085761 1.825280 0.000000 0.247142 1.651909 0.000000 0.000000 
1250.00 1030.00 99.990001 41.676439 37.476773 1.820623 0.000000 0.250435 2.128608 0.000000 0.000000 
1250.00 1020.00 99.990001 41.548906 36.911049 1.815264 0.000000 0.256058 2.566535 0.000000 0.000000 
1250.00 1010.00 99.990001 41.426912 36.384271 1.809334 0.000000 0.263897 2.969410 0.000000 0.000000 
1250.00 1000.00 99.990001 41.306722 35.568868 1.808315 0.000000 0.361948 3.191986 0.375605 0.000000 
1250.00 990.00 99.990001 41.188633 34.477253 1.811959 0.000000 0.539598 3.242888 1.116934 0.000000 
1250.00 980.00 99.990001 41.075523 33.449204 1.814572 0.000000 0.701423 3.284019 1.826305 0.000000 
1250.00 970.00 99.990001 40.966659 32.476546 1.816245 0.000000 0.849056 3.317579 2.507232 0.000000 
1250.00 960.00 99.990001 40.861443 31.552611 1.817053 0.000000 0.983921 3.345344 3.162515 0.000000 
1250.00 950.00 99.990001 41.206286 29.786763 1.824063 0.000000 1.214881 3.245991 4.445950 0.688638 
1250.00 940.00 99.990001 41.615122 27.917541 1.830535 0.000000 1.432905 3.142449 5.813172 1.478519 
1250.00 930.00 99.990001 41.993688 26.130133 1.834984 0.000000 1.617281 3.062462 7.123809 2.225019 
1250.00 920.00 99.990001 42.337453 24.437368 1.837426 0.000000 1.770947 3.005871 8.365340 2.920502 
1250.00 910.00 99.990001 42.642238 22.852935 1.837933 0.000000 1.897161 2.971016 9.525748 3.557446 
1250.00 900.00 99.990001 42.905085 21.388160 1.836639 0.000000 1.999465 2.955112 10.595702 4.130007 
1250.00 890.00 99.990001 43.124699 20.050020 1.833740 0.000000 2.081523 2.954719 11.569769 4.634929 
1250.00 880.00 99.990001 43.301512 18.840415 1.829468 0.000000 2.146917 2.966219 12.446701 5.071791 
1250.00 870.00 99.990001 43.437440 17.756448 1.824069 0.000000 2.198960 2.986209 13.229014 5.442741 
1250.00 860.00 99.990001 43.540411 16.771219 1.817738 0.010257 2.240353 3.012350 13.928603 5.759891 
1250.00 850.00 99.990001 43.610994 15.886825 1.810689 0.025744 2.273518 3.042024 14.548513 6.023681 
