Title:  H2O_1

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 77.865026 61.8316 1.08244 14.159 3.98517 4.12843 2.48515 4.91096 3.01247 2.86366 0.256855 1.28427
1250.00 1040.00 75.084582 62.0414 1.12094 13.8425 4.12878 4.22921 2.3433 4.78791 2.95547 2.95232 0.266366 1.33183
1250.00 1030.00 72.533164 62.2348 1.15891 13.5352 4.27085 4.32831 2.21177 4.67477 2.89316 3.03783 0.275736 1.37868
1250.00 1020.00 70.185287 62.4135 1.19634 13.2369 4.41127 4.42559 2.0895 4.5705 2.82652 3.1202 0.28496 1.4248
1250.00 1010.00 68.018744 62.5788 1.23324 12.9472 4.54997 4.5209 1.9756 4.47418 2.75636 3.19947 0.294037 1.47018
1250.00 1000.00 66.014429 62.7322 1.26961 12.666 4.68688 4.61411 1.86928 4.38497 2.68341 3.2757 0.302964 1.51482
1250.00 990.00 64.155940 62.8747 1.30546 12.3931 4.82194 4.7051 1.76985 4.30211 2.60831 3.34893 0.31174 1.5587
1250.00 980.00 62.428925 63.0074 1.34079 12.1283 4.9551 4.79375 1.67672 4.22492 2.53163 3.41921 0.320364 1.60182
1250.00 970.00 60.820764 63.1312 1.37559 11.8713 5.0863 4.87996 1.58935 4.15278 2.45386 3.4866 0.328835 1.64418
1250.00 960.00 59.320308 63.2469 1.40989 11.6221 5.21552 4.96364 1.50727 4.08515 2.37542 3.55116 0.337153 1.68576
1250.00 950.00 57.917670 63.3552 1.44369 11.3806 5.34275 5.0447 1.43006 4.02151 2.29666 3.61295 0.345318 1.72659
1250.00 940.00 56.312008 63.3639 1.38576 12.1435 5.40859 5.19555 1.30559 3.21865 2.16057 3.68698 0.355164 1.77582
1250.00 930.00 55.050079 63.4449 1.40249 12.0117 5.52736 5.28384 1.23584 3.10208 2.06759 3.74434 0.363306 1.81653
1250.00 920.00 53.865488 63.5211 1.41688 11.8858 5.64408 5.37009 1.17032 2.99069 1.97439 3.79885 0.371295 1.85648
1250.00 910.00 52.752542 63.5934 1.42872 11.7655 5.75865 5.45417 1.1087 2.88416 1.88141 3.85053 0.379129 1.89564
1250.00 900.00 51.706102 63.6629 1.43774 11.6503 5.87098 5.53597 1.05071 2.78217 1.78903 3.89939 0.386802 1.93401
1250.00 890.00 50.721516 63.7305 1.44364 11.5401 5.98095 5.61541 0.996059 2.68444 1.69762 3.94545 0.39431 1.97155
1250.00 880.00 49.794553 63.7973 1.44602 11.4344 6.08846 5.69237 0.944527 2.59074 1.60751 3.98873 0.40165 2.00825
1250.00 870.00 48.921342 63.8646 1.44439 11.333 6.19339 5.76679 0.895892 2.50084 1.51903 4.02923 0.40882 2.0441
1250.00 860.00 48.098462 63.9342 1.43778 11.2358 6.29552 5.83858 0.850302 2.41363 1.43277 4.06658 0.415814 2.07907
1250.00 850.00 48.098462 63.9342 1.43778 11.2358 6.29552 5.83858 0.850302 2.41363 1.43277 4.06658 0.415814 2.07907
