Title:  H2O_1

Phase Masses:
Pressure Temperature mass liquid_0 liquid_1 liquid_2 orthopyroxene_0 clinopyroxene_0 feldspar_0 
1250.00 1050.00 99.999999 70.636179 7.228847 0.000000 3.580291 0.000000 18.554682 
1250.00 1040.00 99.999999 67.828430 7.256152 0.000000 4.116729 0.000000 20.798688 
1250.00 1030.00 99.999999 65.254790 7.278374 0.000000 4.593093 0.000000 22.873743 
1250.00 1020.00 99.999999 62.889061 7.296226 0.000000 5.018205 0.000000 24.796507 
1250.00 1010.00 99.999999 60.708431 7.310313 0.000000 5.399403 0.000000 26.581852 
1250.00 1000.00 99.999999 58.693284 7.321146 0.000000 5.742805 0.000000 28.242765 
1250.00 990.00 99.999999 56.826789 7.329151 0.000000 6.053551 0.000000 29.790508 
1250.00 980.00 99.999999 55.094230 7.334695 0.000000 6.335992 0.000000 31.235081 
1250.00 970.00 99.999999 53.482676 7.338088 0.000000 6.593839 0.000000 32.585396 
1250.00 960.00 99.999999 51.980716 7.339592 0.000000 6.830274 0.000000 33.849417 
1250.00 950.00 99.999999 50.578237 7.339433 0.000000 7.048045 0.000000 35.034284 
1250.00 940.00 99.999999 49.004592 7.307416 0.000000 5.247877 3.997278 34.442836 
1250.00 930.00 99.999999 47.746352 7.303727 0.000000 5.288266 4.283459 35.378194 
1250.00 920.00 99.999999 46.566499 7.298989 0.000000 5.322873 4.555820 36.255817 
1250.00 910.00 99.999999 45.459289 7.293252 0.000000 5.352849 4.815360 37.079249 
1250.00 900.00 99.999999 44.419566 7.286536 0.000000 5.379210 5.063015 37.851671 
1250.00 890.00 99.999999 43.442681 7.278835 0.000000 5.402862 5.299685 38.575936 
1250.00 880.00 99.999999 42.524441 7.270111 0.000000 5.424626 5.526242 39.254578 
1250.00 870.00 99.999999 41.661049 7.260292 0.000000 5.445274 5.743552 39.889831 
1250.00 860.00 99.999999 40.824566 0.024760 7.249136 5.463921 5.955397 40.482219 
1250.00 850.00 99.999999 40.824566 0.024760 7.249136 5.463921 5.955397 40.482219 
