Title:  H2O_1

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 22.134973 54.3249 0.0323536 24.8706 0.121741 1.06345 5.35324 9.92129 3.99522 0.317197 8.23562e-15 5.64742e-16
1250.00 1040.00 24.915417 54.5304 0.0334986 24.629 0.120108 1.1018 5.46064 9.733 4.05733 0.334174 1.56677e-14 5.52676e-16
1250.00 1030.00 27.466835 54.7174 0.0342426 24.4386 0.117306 1.13059 5.51842 9.57243 4.11951 0.351577 -1.71023e-14 1.28357e-15
1250.00 1020.00 29.814712 54.8888 0.0346912 24.2822 0.113832 1.15341 5.54585 9.43219 4.17982 0.369213 -2.14455e-15 0
1250.00 1010.00 31.981255 55.0468 0.0349068 24.15 0.109965 1.17238 5.55395 9.3077 4.23736 0.386968 -4.2602e-15 1.92382e-15
1250.00 1000.00 33.985570 55.1931 0.0349298 24.0355 0.105872 1.1888 5.54943 9.19593 4.29172 0.404767 -3.32971e-15 7.35639e-16
1250.00 990.00 35.844059 55.3289 0.0347877 23.9345 0.101655 1.20355 5.53658 9.09479 4.34274 0.422554 -8.65275e-15 3.48748e-16
1250.00 980.00 37.571074 55.4553 0.0345007 23.844 0.0973816 1.2172 5.51819 9.00275 4.39042 0.440292 -3.90414e-16 5.14672e-16
1250.00 970.00 39.179235 55.5731 0.034084 23.762 0.0930963 1.23017 5.49614 8.91861 4.43486 0.457956 -7.91617e-15 6.38122e-16
1250.00 960.00 40.679691 55.6832 0.03355 23.6868 0.0888292 1.24277 5.47173 8.84146 4.47618 0.475528 1.34402e-14 1.22917e-15
1250.00 950.00 42.082329 55.7862 0.0329089 23.6171 0.0846014 1.25522 5.44585 8.77051 4.51455 0.492999 -8.53118e-16 9.83978e-16
1250.00 940.00 43.687991 56.0532 0.159431 22.1841 0.192992 1.20006 5.4587 9.63082 4.60845 0.512242 5.55364e-15 8.49456e-17
1250.00 930.00 44.949920 56.1592 0.17337 22.0635 0.193957 1.2041 5.42753 9.59358 4.65361 0.531116 4.05552e-15 5.56199e-16
1250.00 920.00 46.134511 56.2573 0.188126 21.9524 0.194623 1.20815 5.3964 9.55694 4.69602 0.549978 9.83025e-15 4.04321e-16
1250.00 910.00 47.247457 56.3477 0.203852 21.8497 0.195067 1.21231 5.36564 9.52121 4.73573 0.568811 -8.64951e-15 5.29153e-16
1250.00 900.00 48.293897 56.4304 0.220731 21.7544 0.19536 1.21664 5.3355 9.4866 4.77279 0.587606 3.72342e-15 5.86442e-17
1250.00 890.00 49.278482 56.5053 0.238979 21.666 0.195568 1.22118 5.30614 9.45323 4.80726 0.606364 -1.22909e-14 0
1250.00 880.00 50.205446 56.5724 0.258863 21.5839 0.195755 1.22598 5.27767 9.4212 4.83921 0.625091 3.26267e-15 3.85153e-16
1250.00 870.00 51.078657 56.6315 0.280716 21.5076 0.19599 1.23106 5.25017 9.39053 4.86871 0.643802 -2.88582e-16 4.89463e-16
1250.00 860.00 51.901537 56.6817 0.305289 21.4363 0.196435 1.23644 5.22339 9.36211 4.89554 0.662864 2.15313e-14 -2.40851e-16
1250.00 850.00 51.901537 56.6817 0.305289 21.4363 0.196435 1.23644 5.22339 9.36211 4.89554 0.662864 2.15313e-14 -2.40851e-16
