Title:  H2O_1

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1250.00 1050.00 99.999999 0.7786502650523007 0.796110 254.279935 -1288609.777256 39.992574 -360.787559 3006.349521 135.048100 -7.661 -7.661 2.445625 2.714591 5.233 0.232347 0.000
1250.00 1040.00 99.999999 0.7508458294064525 0.770018 252.658439 -1290747.198336 39.895707 -354.489088 2970.189789 134.328500 -7.760 -7.760 2.444127 2.715489 5.332 0.249251 0.000
1250.00 1030.00 99.999999 0.7253316436220286 0.745916 251.087561 -1292802.180937 39.804799 -348.586841 2936.668276 133.665634 -7.859 -7.859 2.442932 2.715786 5.428 0.266531 0.000
1250.00 1020.00 99.999999 0.7018528730536059 0.723599 249.560527 -1294784.534168 39.719191 -343.060992 2910.422657 133.218958 -7.959 -7.959 2.442013 2.715752 5.522 0.284153 0.000
1250.00 1010.00 99.999999 0.6801874503820664 0.702886 248.070370 -1296704.109206 39.638266 -337.840358 2881.712789 132.664524 -8.060 -8.060 2.441345 2.715547 5.614 0.302082 0.000
1250.00 1000.00 99.999999 0.6601442978072072 0.683618 246.613198 -1298566.619884 39.561575 -332.912041 2854.775553 132.147366 -8.162 -8.162 2.440909 2.715249 5.704 0.320287 0.000
1250.00 990.00 99.999999 0.6415594068616788 0.665660 245.184753 -1300378.124373 39.488698 -328.249929 2829.408547 131.663009 -8.265 -8.265 2.440684 2.714914 5.794 0.338734 0.000
1250.00 980.00 99.999999 0.6242892603692004 0.648890 243.781317 -1302143.876879 39.419266 -323.830867 2805.437686 131.207621 -8.369 -8.369 2.440654 2.714576 5.881 0.35739 0.000
1250.00 970.00 99.999999 0.6082076477293019 0.633202 242.399622 -1303868.455957 39.352953 -319.634223 2782.712584 130.777910 -8.475 -8.475 2.440802 2.714259 5.968 0.376225 0.000
1250.00 960.00 99.999999 0.5932030864924365 0.618499 241.036784 -1305555.868652 39.289472 -315.641551 2761.102845 130.371036 -8.583 -8.583 2.441114 2.713976 6.054 0.395209 0.000
1250.00 950.00 99.999999 0.5791767063402585 0.604697 239.690243 -1307209.635935 39.228566 -311.836305 2740.495065 129.984544 -8.692 -8.692 2.441578 2.713736 6.140 0.414314 0.000
1250.00 940.00 99.999999 0.5631200865459418 0.590948 237.983592 -1309306.670572 39.076116 -309.975414 2717.042938 129.316276 -8.984 -8.984 2.438597 2.733208 6.361 0.435111 0.000
1250.00 930.00 99.999999 0.5505007953832747 0.578530 236.633011 -1310938.385423 39.012273 -306.612947 2697.517020 128.946861 -9.124 -9.124 2.439106 2.733765 6.462 0.454923 0.000
1250.00 920.00 99.999999 0.5386548885138268 0.566828 235.293935 -1312542.808709 38.950748 -303.397750 2678.679850 128.593897 -9.266 -9.266 2.439741 2.734321 6.563 0.4748 0.000
1250.00 910.00 99.999999 0.5275254211701002 0.555794 233.964712 -1314122.132713 38.891384 -300.320938 2660.460897 128.255923 -9.412 -9.412 2.440487 2.734892 6.665 0.494702 0.000
1250.00 900.00 99.999999 0.5170610249935637 0.545384 232.643830 -1315678.336491 38.834035 -297.374415 2642.796129 127.931679 -9.561 -9.561 2.441331 2.735491 6.768 0.514584 0.000
1250.00 890.00 99.999999 0.5072151704663925 0.535561 231.329891 -1317213.218786 38.778571 -294.550780 2625.626649 127.620085 -9.712 -9.712 2.442257 2.736132 6.872 0.534403 0.000
1250.00 880.00 99.999999 0.4979455308733898 0.526288 230.021594 -1318728.427536 38.724871 -291.843250 2608.897340 127.320230 -9.865 -9.865 2.443251 2.736824 6.977 0.554115 0.000
1250.00 870.00 99.999999 0.4892134222861942 0.517534 228.717708 -1320225.487312 38.672821 -289.245588 2592.555436 127.031362 -10.021 -10.021 2.444296 2.737580 7.083 0.573674 0.000
1250.00 860.00 99.999999 0.4809846204575087 0.509272 227.413012 -1321710.427865 38.622275 -286.754570 2576.526024 126.752665 -10.179 -10.179 2.445366 2.738427 7.199 0.593422 0.000
1250.00 850.00 99.999999 0.4809846204575087 0.509272 227.413012 -1321710.427865 38.622275 -286.754570 2576.526024 126.752665 -10.179 -10.179 2.445366 2.738427 7.199 0.593422 0.000
