Title:  H2O_5

Phase Masses:
Pressure Temperature mass liquid_0 liquid_1 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 100.020001 92.338236 6.349669 0.000000 0.000000 0.000000 1.332096 
1250.00 1040.00 100.020001 92.273829 6.426236 0.000000 0.000000 0.000000 1.319936 
1250.00 1030.00 100.020001 92.211499 6.500945 0.000000 0.000000 0.000000 1.307558 
1250.00 1020.00 100.020001 92.151215 6.573825 0.000000 0.000000 0.000000 1.294961 
1250.00 1010.00 100.020001 91.664552 6.601664 0.461609 0.000000 0.000000 1.292176 
1250.00 1000.00 100.020001 91.163777 6.623144 0.943511 0.000000 0.000000 1.289570 
1250.00 990.00 100.020001 90.688872 6.642460 1.402463 0.000000 0.000000 1.286207 
1250.00 980.00 100.020001 88.207136 6.682401 2.085822 0.000000 1.673871 1.370771 
1250.00 970.00 100.020001 83.454624 6.743680 2.968594 0.000000 5.293994 1.559109 
1250.00 960.00 100.020001 79.086263 6.796394 3.721912 0.000000 8.679161 1.736271 
1250.00 950.00 100.020001 75.028088 6.841938 4.369751 0.000000 11.875542 1.904683 
1250.00 940.00 100.020001 71.233625 6.881209 4.930267 0.000000 14.909240 2.065660 
1250.00 930.00 100.020001 70.490551 6.793746 1.991427 7.096143 11.589705 2.058429 
1250.00 920.00 100.020001 66.829572 6.828352 2.552558 6.869223 14.717695 2.222602 
1250.00 910.00 100.020001 63.382557 6.856179 3.028115 6.706867 17.666649 2.379635 
1250.00 900.00 100.020001 60.162502 6.877432 3.427587 6.605026 20.419218 2.528237 
1250.00 890.00 100.020001 57.178984 6.892416 3.760902 6.557044 22.963306 2.667351 
1250.00 880.00 100.020001 54.435890 6.901526 4.038016 6.554778 25.293516 2.796276 
1250.00 870.00 100.020001 51.930869 6.905219 4.268488 6.589609 27.411111 2.914705 
1250.00 860.00 100.020001 49.655939 6.903981 4.461138 6.653194 29.323053 3.022697 
1250.00 850.00 100.020001 47.598715 6.898296 4.623821 6.737929 31.040636 3.120603 
