Title:  ONELIQ

Phase Masses:
Pressure Temperature mass liquid_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
1250.00 1050.00 100.010001 97.818926 0.000000 0.000000 0.000000 2.191076 0.000000 
1250.00 1040.00 100.010001 97.113860 0.426460 0.000000 0.000000 2.469681 0.000000 
1250.00 1030.00 100.010001 96.241103 1.048401 0.000000 0.000000 2.720498 0.000000 
1250.00 1020.00 100.010001 95.420347 1.639930 0.000000 0.000000 2.949724 0.000000 
1250.00 1010.00 100.010001 94.646735 2.203743 0.000000 0.000000 3.159523 0.000000 
1250.00 1000.00 100.010001 90.599124 0.414520 5.717737 0.000000 3.278621 0.000000 
1250.00 990.00 100.010001 89.215819 0.375907 6.989547 0.000000 3.428729 0.000000 
1250.00 980.00 100.010001 86.510534 0.871193 7.264399 1.741556 3.622321 0.000000 
1250.00 970.00 100.010001 83.634331 1.443511 7.290076 3.829448 3.812636 0.000000 
1250.00 960.00 100.010001 80.933238 1.959512 7.305400 5.826034 3.985818 0.000000 
1250.00 950.00 100.010001 78.390473 2.423715 7.315997 7.736666 4.143152 0.000000 
1250.00 940.00 100.010001 75.991747 2.840379 7.326076 9.565967 4.285832 0.000000 
1250.00 930.00 100.010001 73.724772 3.213545 7.338693 11.318018 4.414973 0.000000 
1250.00 920.00 100.010001 71.340796 3.591429 7.305373 13.213163 4.537463 0.021777 
1250.00 910.00 100.010001 67.421872 4.208668 6.962753 16.534078 4.684900 0.197730 
1250.00 900.00 100.010001 63.789905 4.712746 6.718044 19.614998 4.810831 0.363478 
1250.00 890.00 100.010001 60.450294 5.118661 6.559127 22.446797 4.917152 0.517970 
1250.00 880.00 100.010001 57.401048 5.441624 6.472066 25.028676 5.005969 0.660618 
1250.00 870.00 100.010001 54.633092 5.696153 6.442799 27.367240 5.079423 0.791295 
1250.00 860.00 100.010001 52.131716 5.895445 6.458297 29.474723 5.139554 0.910266 
1250.00 850.00 100.010001 49.878399 6.051054 6.507212 31.367047 5.188204 1.018086 
