Title:  ONELIQ

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 2.191076 5.70841e-13 5.14369 5.73689 56.1812 25.7429 7.19533 2.21997e-15 -5.88841e-14 -4.02748e-13 2.6269e-13 0
1250.00 1040.00 2.896141 8.02686 4.54148 5.19621 47.7926 23.897 10.3237 0.219287 0.00285124 5.64257e-14 -1.06277e-14 0
1250.00 1030.00 3.768899 15.1528 3.95348 4.69291 40.4268 22.3089 13.0127 0.446824 0.00558606 4.33593e-14 9.47332e-14 0
1250.00 1020.00 4.589654 19.4497 3.6103 4.37649 35.9283 21.4657 14.5422 0.619845 0.00744784 -4.98477e-14 -3.35312e-15 0
1250.00 1010.00 5.363266 22.3505 3.38685 4.15176 32.8484 20.9829 15.4996 0.770992 0.00889885 1.82818e-14 3.38596e-14 0
1250.00 1000.00 9.410878 32.6621 2.66939 4.89917 20.5465 13.8162 12.5347 12.7146 0.157453 -1.04188e-14 -4.21909e-14 0
1250.00 990.00 10.794182 34.0677 2.60345 4.97012 18.8445 13.2661 12.4923 13.5801 0.175768 -9.08361e-15 3.30771e-14 0
1250.00 980.00 13.499468 36.8397 2.29418 8.18473 15.8037 11.7975 11.2806 13.1538 0.618489 0.0272885 3.87607e-14 0
1250.00 970.00 16.375670 38.9589 2.05954 10.7246 13.5782 10.6963 10.2663 12.6514 1.01204 0.0526208 -6.95443e-15 0
1250.00 960.00 19.076764 40.4564 1.90648 12.4043 12.0734 9.9578 9.5414 12.273 1.31406 0.0730458 -1.62958e-14 0
1250.00 950.00 21.619529 41.6009 1.79898 13.5917 10.9801 9.42183 8.98532 11.9668 1.56342 0.0908934 -2.70499e-14 0
1250.00 940.00 24.018254 42.525 1.7193 14.47 10.1448 9.00946 8.53787 11.707 1.77915 0.107315 -5.12599e-15 0
1250.00 930.00 26.285230 43.3013 1.65772 15.1412 9.48245 8.67749 8.16551 11.4798 1.97162 0.122943 -1.55739e-14 0
1250.00 920.00 28.669205 44.026 1.59503 15.74 8.87589 8.35332 7.79922 11.2241 2.17011 0.140376 -4.29441e-16 0.0759584
1250.00 910.00 32.588130 44.991 1.46342 16.5999 7.99816 7.79748 7.19638 10.6722 2.50088 0.173831 -6.51701e-15 0.606754
1250.00 900.00 36.220096 45.8003 1.36571 17.1679 7.34488 7.3664 6.72976 10.2297 2.7845 0.207345 -1.40215e-14 1.00352
1250.00 890.00 39.559707 46.4905 1.29095 17.548 6.84308 7.02062 6.35927 9.868 3.02921 0.241073 2.10073e-15 1.30934
1250.00 880.00 42.608953 47.0847 1.23251 17.8033 6.44845 6.73661 6.05972 9.56862 3.24067 0.274939 -4.98433e-15 1.55042
1250.00 870.00 45.376909 47.5991 1.18617 17.9743 6.13226 6.49927 5.81416 9.31875 3.42333 0.308769 1.83142e-15 1.74383
1250.00 860.00 47.878285 48.0459 1.14908 18.0877 5.87504 6.29831 5.61061 9.10892 3.58094 0.342352 -4.43577e-15 1.90121
1250.00 850.00 50.131603 48.4347 1.11923 18.1614 5.66308 6.12641 5.44028 8.93186 3.71678 0.375489 5.58713e-15 2.03083
