Title:  ONELIQ

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1250.00 1050.00 100.010001 0.9780914338272312 0.988867 275.194592 -1279090.019463 42.611811 -658.937686 5502.701946 141.860731 -7.687 -7.687 2.321426 4.618808 3.710 0.740889 0.000
1250.00 1040.00 100.010001 0.9710414859052680 0.984372 273.922830 -1280766.216352 42.532653 -655.164618 5472.920658 141.521080 -7.951 -7.951 2.319526 4.357170 3.802 0.741856 0.000
1250.00 1030.00 100.010001 0.9623147805938106 0.978607 272.605067 -1282490.056132 42.445303 -651.170201 5441.514474 141.128677 -8.194 -8.194 2.316983 4.150535 3.899 0.743899 0.000
1250.00 1020.00 100.010001 0.9541080504385497 0.973163 271.295819 -1284189.661942 42.360253 -647.252230 5411.220437 140.758467 -8.431 -8.431 2.314711 4.037277 3.995 0.745707 0.000
1250.00 1010.00 100.010001 0.9463727028296333 0.968012 269.993524 -1285867.218327 42.277305 -643.405034 5381.915412 140.408024 -8.663 -8.663 2.312691 3.965830 4.092 0.747302 0.000
1250.00 1000.00 100.010001 0.9059006333618783 0.938718 267.581494 -1288966.573285 42.027101 -636.728754 5307.251808 138.731445 -8.912 -8.912 2.296462 3.654006 4.232 0.779483 0.000
1250.00 990.00 100.010001 0.8920689697887407 0.928888 266.054078 -1290903.588359 41.912050 -632.436687 5269.548467 138.128451 -9.143 -9.143 2.291605 3.621647 4.339 0.787876 0.000
1250.00 980.00 100.010001 0.8650188218088777 0.906534 264.298030 -1293112.737982 41.796795 -624.811077 5215.611637 137.285477 -9.359 -9.359 2.283190 3.455564 4.421 0.81465 0.000
1250.00 970.00 100.010001 0.8362596737370118 0.882207 262.523706 -1295327.397876 41.685410 -616.575013 5160.154635 136.435205 -9.566 -9.566 2.274208 3.334985 4.493 0.846124 0.000
1250.00 960.00 100.010001 0.8092514397979216 0.859145 260.791487 -1297472.178460 41.578544 -608.580995 5107.458529 135.642927 -9.766 -9.766 2.265642 3.257336 4.563 0.877634 0.000
1250.00 950.00 100.010001 0.7838263339088886 0.837234 259.096497 -1299553.909178 41.475604 -600.808535 5057.245572 134.902161 -9.959 -9.959 2.257478 3.202510 4.630 0.909176 0.000
1250.00 940.00 100.010001 0.7598414745148266 0.816378 257.434515 -1301578.478213 41.376106 -593.240696 5009.271664 134.207340 -10.145 -10.145 2.249705 3.161310 4.695 0.940732 0.000
1250.00 930.00 100.010001 0.7371739892461399 0.796493 255.801853 -1303551.001831 41.279653 -585.863291 4963.320855 133.553662 -10.326 -10.326 2.242309 3.128934 4.757 0.972278 0.000
1250.00 920.00 100.010001 0.7133366167715159 0.773656 254.157602 -1305520.915974 41.244228 -645.210558 5011.132898 132.908290 -10.497 -10.497 2.235770 3.071021 4.828 1 0.000
1250.00 910.00 100.010001 0.6741512934605273 0.725434 252.280042 -1307751.785851 41.614809 -1167.854956 5720.859990 132.115719 -10.632 -10.632 2.233341 2.852098 4.981 1 0.000
1250.00 900.00 100.010001 0.6378352577085645 0.681511 250.458441 -1309897.951565 41.944923 -1645.871888 6405.068295 131.403949 -10.756 -10.756 2.231514 2.711289 5.137 1 0.000
1250.00 890.00 100.010001 0.6044424865324148 0.641787 248.691509 -1311962.037675 42.233430 -2077.173433 7057.977675 130.767285 -10.871 -10.871 2.230239 2.614900 5.296 1 0.000
1250.00 880.00 100.010001 0.5739530760880738 0.606081 246.976990 -1313947.750471 42.480522 -2461.189004 7675.589579 130.199742 -10.979 -10.979 2.229457 2.546269 5.458 1 0.000
1250.00 870.00 100.010001 0.5462762889340330 0.574147 245.311656 -1315859.843714 42.687564 -2798.771643 8255.787510 129.695225 -11.080 -11.080 2.229109 2.496168 5.621 1 0.000
1250.00 860.00 100.010001 0.5212650282955533 0.545691 243.691509 -1317703.849280 42.856808 -3091.907675 8798.130175 129.247784 -11.178 -11.178 2.229132 2.459048 5.787 1 0.000
1250.00 850.00 100.010001 0.4987341063095792 0.520395 242.112062 -1319485.734442 42.991076 -3343.362011 9303.496237 128.851875 -11.271 -11.271 2.229467 2.431361 5.955 1 0.000
