Title:  REF

Liquid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1040.00 100.010001 58.9441 0.839916 16.1884 3.06969 3.37966 3.05969 5.89941 3.15968 2.25977 0.19998 2.9997
1250.00 1030.00 99.872157 58.9481 0.840733 16.2078 3.07288 3.37578 3.01796 5.90581 3.16402 2.26289 0.200256 3.00384
1250.00 1020.00 99.366670 58.9631 0.843709 16.2792 3.08473 3.36078 2.86478 5.92896 3.18002 2.2744 0.201275 3.01912
1250.00 1010.00 97.849870 59.0673 0.855149 16.2162 3.12823 3.37317 2.70825 5.87198 3.20131 2.30809 0.204395 3.06592
1250.00 1000.00 94.744774 59.314 0.880978 15.9313 3.22569 3.43267 2.54442 5.68644 3.22781 2.37923 0.211093 3.1664
1250.00 990.00 91.854216 59.5473 0.906525 15.6499 3.32292 3.49203 2.39196 5.50878 3.24758 2.44922 0.217736 3.26604
1250.00 980.00 89.152780 59.7674 0.931847 15.3721 3.42002 3.55136 2.25005 5.33903 3.26069 2.51814 0.224334 3.36501
1250.00 970.00 86.619042 59.9744 0.956994 15.098 3.51709 3.61074 2.11787 5.17719 3.26722 2.58607 0.230896 3.46344
1250.00 960.00 84.234898 60.1688 0.982017 14.8275 3.61423 3.67025 1.9947 5.02318 3.26729 2.65307 0.237431 3.56147
1250.00 950.00 81.984998 60.3508 1.00696 14.5607 3.71151 3.7299 1.87986 4.87688 3.26107 2.71917 0.243947 3.65921
1250.00 940.00 79.847011 60.522 1.03199 14.2964 3.80944 3.79006 1.77252 4.73767 3.24863 2.78471 0.250479 3.75605
1250.00 930.00 78.930078 60.7238 0.866629 15.5216 3.73895 3.83319 1.56561 3.56269 3.31204 2.82137 0.253389 3.80083
1250.00 920.00 75.300995 61.0716 0.89418 15.1062 3.91955 3.96835 1.45519 3.37445 3.23545 2.93891 0.265601 3.77045
1250.00 910.00 71.811195 61.3992 0.921732 14.6977 4.11028 4.11312 1.35422 3.20169 3.13378 3.05917 0.278508 3.73057
1250.00 900.00 68.545934 61.6998 0.947184 14.3081 4.3059 4.26304 1.2624 3.04448 3.01178 3.17841 0.291775 3.68706
1250.00 890.00 65.515327 61.9758 0.969513 13.9395 4.50441 4.41615 1.17871 2.9013 2.87335 3.29507 0.305272 3.64091
1250.00 880.00 62.723808 62.23 0.987659 13.593 4.70369 4.57039 1.10222 2.77067 2.72268 3.40764 0.318858 3.59315
1250.00 870.00 60.169524 62.4659 1.00056 13.2688 4.9017 4.72373 1.03214 2.65121 2.56398 3.51483 0.332394 3.54477
1250.00 860.00 57.844905 62.687 1.00717 12.9664 5.09654 4.87436 0.96778 2.54162 2.40114 3.61559 0.345752 3.49664
1250.00 850.00 55.737869 62.897 1.00654 12.6846 5.28663 5.02075 0.908518 2.44082 2.23765 3.7092 0.358822 3.44951
