Title:  REF

Phase Masses:
Pressure Temperature mass liquid_0 liquid_1 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 100.010001 93.395561 6.614440 0.000000 0.000000 0.000000 0.000000 
1250.00 1040.00 100.010001 93.320340 6.689661 0.000000 0.000000 0.000000 0.000000 
1250.00 1030.00 100.010001 93.122431 6.749726 0.137844 0.000000 0.000000 0.000000 
1250.00 1020.00 100.010001 92.595877 6.770793 0.643331 0.000000 0.000000 0.000000 
1250.00 1010.00 100.010001 91.049247 6.800623 1.240121 0.000000 0.920011 0.000000 
1250.00 1000.00 100.010001 87.900271 6.844504 1.966626 0.000000 3.298601 0.000000 
1250.00 990.00 100.010001 84.970863 6.883353 2.616993 0.000000 5.538792 0.000000 
1250.00 980.00 100.010001 82.234940 6.917839 3.200899 0.000000 7.656322 0.000000 
1250.00 970.00 100.010001 79.670525 6.948518 3.726594 0.000000 9.664365 0.000000 
1250.00 960.00 100.010001 77.259046 6.975851 4.201149 0.000000 11.573955 0.000000 
1250.00 950.00 100.010001 74.984770 7.000227 4.630654 0.000000 13.394350 0.000000 
1250.00 940.00 100.010001 72.824947 7.022063 5.021298 0.000000 15.140783 0.000909 
1250.00 930.00 100.010001 71.996284 6.933794 2.045758 7.206769 11.827396 0.000000 
1250.00 920.00 100.010001 68.332879 6.968116 2.606756 6.990095 14.951346 0.160810 
1250.00 910.00 100.010001 64.814753 6.996442 3.093332 6.823707 17.960737 0.321030 
1250.00 900.00 100.010001 61.527896 7.018038 3.502288 6.719067 20.770043 0.472670 
1250.00 890.00 100.010001 58.482121 7.033206 3.843753 6.669425 23.366851 0.614645 
1250.00 880.00 100.010001 55.681467 7.042341 4.127898 6.666501 25.745556 0.746238 
1250.00 870.00 100.010001 53.123624 7.045900 4.364498 6.701507 27.907343 0.867129 
1250.00 860.00 100.010001 50.800537 7.044368 4.562586 6.765914 29.859227 0.977370 
1250.00 850.00 100.010001 48.699637 7.038232 4.730214 6.851928 31.612673 1.077317 
