Title:  REF

Phase Volumes:
Pressure Temperature mass V liquid_0 liquid_1 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 100.010001 42.647949 40.937920 1.710029 0.000000 0.000000 0.000000 0.000000 
1250.00 1040.00 100.010001 42.592056 40.865701 1.726356 0.000000 0.000000 0.000000 0.000000 
1250.00 1030.00 100.010001 42.529745 40.748387 1.738261 0.043097 0.000000 0.000000 0.000000 
1250.00 1020.00 100.010001 42.450212 40.510391 1.738844 0.200977 0.000000 0.000000 0.000000 
1250.00 1010.00 100.010001 42.354234 39.881142 1.741708 0.387132 0.000000 0.344252 0.000000 
1250.00 1000.00 100.010001 42.232596 38.635982 1.748166 0.613552 0.000000 1.234896 0.000000 
1250.00 990.00 100.010001 42.116476 37.472607 1.753312 0.815956 0.000000 2.074601 0.000000 
1250.00 980.00 100.010001 42.005184 36.381268 1.757323 0.997407 0.000000 2.869186 0.000000 
1250.00 970.00 100.010001 41.898142 35.353770 1.760350 1.160511 0.000000 3.623511 0.000000 
1250.00 960.00 100.010001 41.794869 34.383214 1.762515 1.307505 0.000000 4.341635 0.000000 
1250.00 950.00 100.010001 41.694957 33.463772 1.763921 1.440311 0.000000 5.026954 0.000000 
1250.00 940.00 100.010001 41.600547 32.585983 1.764676 1.560880 0.000000 5.685135 0.003873 
1250.00 930.00 100.010001 41.365849 32.322401 1.736421 0.634378 2.213008 4.459641 0.000000 
1250.00 920.00 100.010001 41.700276 30.694834 1.740054 0.807829 2.143798 5.646070 0.667692 
1250.00 910.00 100.010001 42.020315 29.122590 1.742146 0.958021 2.090052 6.792174 1.315331 
1250.00 900.00 100.010001 42.305456 27.648413 1.742547 1.084008 2.055214 7.864745 1.910530 
1250.00 890.00 100.010001 42.554262 26.278248 1.741354 1.188965 2.037147 8.858334 2.450214 
1250.00 880.00 100.010001 42.766388 25.015226 1.738691 1.276077 2.033247 9.770153 2.932994 
1250.00 870.00 100.010001 42.942547 23.859390 1.734694 1.348396 2.040757 10.600096 3.359214 
1250.00 860.00 100.010001 43.084334 22.807973 1.729503 1.408740 2.057006 11.350383 3.730728 
1250.00 850.00 100.010001 43.193986 21.855973 1.723259 1.459620 2.079553 12.025037 4.050544 
