Title:  SIO2_H

Phase Masses:
Pressure Temperature mass liquid_0 liquid_1 orthopyroxene_0 clinopyroxene_0 feldspar_0 water 
1250.00 1050.00 100.009998 94.768475 5.241523 0.000000 0.000000 0.000000 0.000000 
1250.00 1040.00 100.009998 94.700140 5.309858 0.000000 0.000000 0.000000 0.000000 
1250.00 1030.00 100.009998 94.633599 5.376398 0.000000 0.000000 0.000000 0.000000 
1250.00 1020.00 100.009998 94.568825 5.441173 0.000000 0.000000 0.000000 0.000000 
1250.00 1010.00 100.009998 94.505789 5.504209 0.000000 0.000000 0.000000 0.000000 
1250.00 1000.00 100.009998 94.444461 5.565537 0.000000 0.000000 0.000000 0.000000 
1250.00 990.00 100.009998 92.969038 5.652680 0.000000 0.000000 1.388280 0.000000 
1250.00 980.00 100.009998 90.948196 5.747209 0.000000 0.000000 3.314594 0.000000 
1250.00 970.00 100.009998 88.698218 5.815212 0.205952 0.000000 5.290615 0.000000 
1250.00 960.00 100.009998 86.154014 5.847429 0.675099 0.000000 7.333457 0.000000 
1250.00 950.00 100.009998 83.747807 5.876324 1.099476 0.000000 9.286392 0.000000 
1250.00 940.00 100.009998 81.466971 5.902222 1.484260 0.000000 11.156545 0.000000 
1250.00 930.00 100.009998 79.300789 5.925402 1.833946 0.000000 12.949860 0.000000 
1250.00 920.00 100.009998 77.240096 5.946109 2.152452 0.000000 14.671341 0.000000 
1250.00 910.00 100.009998 76.167877 5.927676 0.387375 4.319752 13.207317 0.000000 
1250.00 900.00 100.009998 74.298086 5.942866 0.590445 4.475483 14.703117 0.000000 
1250.00 890.00 100.009998 71.794325 5.961904 0.872976 4.508610 16.801496 0.070688 
1250.00 880.00 100.009998 68.620182 5.983752 1.219015 4.438777 19.528854 0.219418 
1250.00 870.00 100.009998 65.670728 5.999993 1.505393 4.422778 22.052270 0.358836 
1250.00 860.00 100.009998 62.946608 6.010877 1.741979 4.451945 24.370121 0.488467 
1250.00 850.00 100.009998 60.443852 6.016548 1.938471 4.517609 26.485394 0.608124 
