Title:  SIO2_H

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1250.00 1050.00 100.009998 1.0000000000000000 1.000000 274.658881 -1290233.612142 43.264236 -675.636592 5489.494432 140.984723 -7.743 -7.743 2.311609 0.000000 4.268 0.74874 0.000
1250.00 1040.00 100.009998 1.0000000000000000 1.000000 273.574223 -1291663.347712 43.209401 -672.849004 5477.461339 140.940509 -7.937 -7.937 2.314543 0.000000 4.339 0.746829 0.000
1250.00 1030.00 100.009998 1.0000000000000000 1.000000 272.482003 -1293092.128129 43.154687 -670.066678 5465.229370 140.894997 -8.134 -8.134 2.317477 0.000000 4.411 0.744923 0.000
1250.00 1020.00 100.009998 1.0000000000000000 1.000000 271.382112 -1294519.945509 43.100097 -667.289615 5452.798524 140.848163 -8.336 -8.336 2.320412 0.000000 4.485 0.743024 0.000
1250.00 1010.00 100.009998 1.0000000000000000 1.000000 270.274436 -1295946.791877 43.045632 -664.517814 5440.168801 140.799985 -8.542 -8.542 2.323348 0.000000 4.559 0.741134 0.000
1250.00 1000.00 100.009998 1.0000000000000000 1.000000 269.158860 -1297372.659165 42.991294 -661.751275 5427.340203 140.750436 -8.752 -8.752 2.326285 0.000000 4.635 0.739255 0.000
1250.00 990.00 100.009998 0.9861185860624809 0.987848 267.733672 -1299179.562487 42.917131 -656.074595 5397.727407 140.369885 -8.977 -8.977 2.326224 2.662047 4.695 0.754032 0.000
1250.00 980.00 100.009998 0.9668573780991693 0.970912 266.189625 -1301122.214775 42.834982 -649.219870 5361.671558 139.863703 -9.211 -9.211 2.325024 2.660225 4.748 0.776162 0.000
1250.00 970.00 100.009998 0.9450398206073272 0.951942 264.585656 -1303124.010084 42.742273 -641.929512 5322.211552 139.271092 -9.410 -9.410 2.322873 2.675887 4.806 0.80133 0.000
1250.00 960.00 100.009998 0.9199224513373153 0.930343 262.906015 -1305203.683913 42.636256 -634.091820 5278.333986 138.565827 -9.556 -9.556 2.319383 2.696559 4.868 0.830484 0.000
1250.00 950.00 100.009998 0.8961517109036219 0.909750 261.256198 -1307229.929383 42.533542 -626.453777 5236.097669 137.899939 -9.703 -9.703 2.316174 2.705616 4.928 0.859691 0.000
1250.00 940.00 100.009998 0.8736045896644268 0.890077 259.632718 -1309207.593020 42.433820 -618.998375 5195.328513 137.269449 -9.852 -9.852 2.313230 2.710020 4.987 0.888951 0.000
1250.00 930.00 100.009998 0.8521767112394197 0.871248 258.032547 -1311140.856816 42.336832 -611.711731 5155.876646 136.670920 -10.003 -10.003 2.310538 2.712142 5.044 0.918257 0.000
1250.00 920.00 100.009998 0.8317788938276923 0.853200 256.453046 -1313033.352840 42.242361 -604.582454 5117.612574 136.101377 -10.157 -10.157 2.308086 2.713007 5.099 0.947593 0.000
1250.00 910.00 100.009998 0.8208734619963679 0.846819 254.695030 -1315137.389519 42.072921 -602.740359 5085.365881 135.393480 -10.511 -10.511 2.304233 2.779682 5.257 0.956222 0.000
1250.00 900.00 100.009998 0.8023293043226593 0.830311 253.131866 -1316979.042834 41.978465 -596.037987 5048.390322 134.867657 -10.690 -10.690 2.302123 2.775276 5.318 0.984568 0.000
1250.00 890.00 100.009998 0.7774845486701818 0.802664 251.474380 -1318914.955902 42.065642 -796.790092 5321.429367 134.299531 -10.855 -10.855 2.302894 2.680830 5.418 1 0.000
1250.00 880.00 100.009998 0.7459647626887588 0.763652 249.719279 -1320947.656460 42.342966 -1217.312684 5947.373228 133.702512 -11.002 -11.002 2.307199 2.538658 5.569 1 0.000
1250.00 870.00 100.009998 0.7166355643440954 0.728003 248.000219 -1322921.424913 42.585565 -1598.670231 6547.079884 133.159246 -11.152 -11.152 2.311780 2.446592 5.723 1 0.000
1250.00 860.00 100.009998 0.6895059214409307 0.695603 246.315950 -1324838.404245 42.793676 -1940.445356 7117.257086 132.666152 -11.305 -11.305 2.316543 2.383839 5.881 1 0.000
1250.00 850.00 100.009998 0.6645375614920049 0.666296 244.664491 -1326701.523886 42.968257 -2243.116303 7655.759938 132.219464 -11.459 -11.459 2.321389 2.339798 6.041 1 0.000
