Title:  SIO2_L

Solid Composition:
Pressure Temperature mass SiO2 TiO2 Al2O3 Fe2O3 FeO MgO CaO Na2O K2O P2O5 H2O 
1250.00 1050.00 4.427690 52.4004 0.721845 3.72679 1.44754 3.15982 20.4069 17.9775 0.159246 -6.64343e-14 3.57424e-13 5.64654e-15
1250.00 1040.00 6.109525 51.9978 0.828504 3.97524 1.49586 3.0413 19.4529 19.0311 0.177301 -1.08699e-13 1.82532e-13 1.12854e-14
1250.00 1030.00 7.664289 51.6883 0.931117 4.19233 1.5269 2.98747 18.8737 19.6077 0.192347 -7.24943e-14 -1.19835e-14 6.52405e-15
1250.00 1020.00 9.105177 51.4175 1.03461 4.39706 1.54967 2.96161 18.4587 19.9745 0.206379 -2.87163e-14 -8.58098e-14 1.09833e-14
1250.00 1010.00 10.443458 51.1659 1.14036 4.59594 1.56738 2.95034 18.131 20.2289 0.220121 -5.94615e-14 4.77901e-14 4.7879e-15
1250.00 1000.00 12.491331 51.0541 1.12865 6.83184 1.42856 2.78519 16.8556 19.4301 0.472545 0.0133842 5.29387e-16 2.00148e-15
1250.00 990.00 15.212491 51.123 1.04339 9.86691 1.21769 2.55058 15.2042 18.1025 0.856851 0.0348883 -1.89889e-14 -1.64346e-15
1250.00 980.00 17.764342 51.2286 0.997682 11.8741 1.07508 2.39151 14.0604 17.1686 1.15194 0.0521483 3.35159e-14 3.62839e-15
1250.00 970.00 20.168629 51.3567 0.974537 13.3002 0.971048 2.27474 13.203 16.4548 1.39761 0.0673014 3.27873e-16 2.47921e-15
1250.00 960.00 22.443197 51.4998 0.965652 14.3639 0.891073 2.18413 12.5242 15.8769 1.6129 0.0813983 4.67572e-15 3.15045e-15
1250.00 950.00 26.429225 51.6206 0.877636 15.9498 0.755234 2.01327 11.3381 14.7237 2.0072 0.110489 -1.16282e-14 0.603935
1250.00 940.00 30.596639 51.8443 0.804642 17.0921 0.64833 1.8706 10.3516 13.7236 2.38734 0.143347 9.87423e-15 1.13418
1250.00 930.00 34.566181 52.1295 0.753905 17.839 0.57061 1.76091 9.58968 12.9251 2.72318 0.177926 5.89155e-15 1.53024
1250.00 920.00 38.314098 52.4395 0.718178 18.33 0.512301 1.67438 8.9839 12.2711 3.02029 0.214581 -7.0374e-15 1.83584
1250.00 910.00 41.814254 52.7513 0.693166 18.6494 0.467551 1.60527 8.49398 11.7281 3.28143 0.253267 3.78457e-15 2.07647
1250.00 900.00 45.045106 53.0505 0.676108 18.8521 0.43256 1.54987 8.09363 11.2745 3.50875 0.293672 1.49472e-16 2.26833
1250.00 890.00 47.993978 53.3282 0.665137 18.9752 0.404723 1.5055 7.76434 10.8944 3.70458 0.335313 -8.64324e-15 2.42257
1250.00 880.00 50.658679 53.5799 0.658968 19.0446 0.382189 1.47013 7.4922 10.5755 3.8716 0.377619 -5.79149e-15 2.54726
1250.00 870.00 53.046930 53.8038 0.656706 19.0783 0.363614 1.44213 7.26636 10.3078 4.0128 0.420014 -4.49949e-15 2.64852
1250.00 860.00 55.194518 54.0005 0.657592 19.0889 0.34793 1.41983 7.07569 10.0809 4.13205 0.462719 1.25716e-14 2.73391
1250.00 850.00 57.109243 54.1708 0.661273 19.0848 0.33448 1.40236 6.91494 9.88918 4.23168 0.505113 2.03253e-14 2.80534
