Title:  SIO2_L

System Thermodynamic Data:
Pressure Temperature mass F phi S H V dVdP*10^6 dVdT*10^6 Cp logfO2(absolute) logfO2(absolute) rhol rhos viscosity aH2O chisqr
1250.00 1050.00 99.990001 0.9557186674840560 0.967142 274.112958 -1275242.263335 41.950541 -642.973200 5651.951605 143.474250 -7.792 -7.792 2.355368 3.212193 3.605 0.805895 0.000
1250.00 1040.00 99.990001 0.9388986452714816 0.954579 272.492746 -1277377.977494 41.810092 -638.256598 5616.988038 142.768951 -7.937 -7.937 2.352243 3.217147 3.694 0.817044 0.000
1250.00 1030.00 99.990001 0.9233494461643419 0.942916 270.907165 -1279452.182326 41.676439 -633.685276 5582.986050 142.108923 -8.084 -8.084 2.349410 3.221584 3.783 0.827354 0.000
1250.00 1020.00 99.990001 0.9089391215852380 0.932066 269.351891 -1281471.184143 41.548906 -629.243719 5549.805864 141.489299 -8.233 -8.233 2.346849 3.225820 3.872 0.836879 0.000
1250.00 1010.00 99.990001 0.8955549797944051 0.921952 267.823209 -1283440.377080 41.426912 -624.918737 5517.333946 140.905941 -8.384 -8.384 2.344543 3.229961 3.962 0.845665 0.000
1250.00 1000.00 99.990001 0.8750742031203803 0.904869 266.175237 -1285546.389039 41.306722 -618.755636 5476.172185 140.197995 -8.525 -8.525 2.340965 3.178828 4.036 0.865858 0.000
1250.00 990.00 99.990001 0.8478598808994390 0.881049 264.419137 -1287773.423959 41.188633 -610.779142 5427.188291 139.379556 -8.656 -8.656 2.336163 3.104957 4.092 0.898316 0.000
1250.00 980.00 99.990001 0.8223388204013823 0.858511 262.704397 -1289930.856482 41.075523 -603.027259 5380.276662 138.615835 -8.789 -8.789 2.331732 3.056627 4.146 0.930571 0.000
1250.00 970.00 99.990001 0.7982935444272405 0.837090 261.024859 -1292027.198715 40.966659 -595.469439 5335.153241 137.899813 -8.922 -8.922 2.327643 3.022030 4.198 0.96269 0.000
1250.00 960.00 99.990001 0.7755455891045961 0.816654 259.375374 -1294069.532286 40.861443 -588.081352 5291.580613 137.225630 -9.057 -9.057 2.323871 2.995710 4.247 0.994723 0.000
1250.00 950.00 99.990001 0.7356813260491705 0.767136 257.466879 -1296413.246037 41.206286 -1087.460776 5903.631027 136.344833 -9.159 -9.159 2.327075 2.754347 4.365 1 0.000
1250.00 940.00 99.990001 0.6940030144674442 0.714838 255.544319 -1298755.248100 41.615122 -1661.522503 6645.996006 135.491341 -9.254 -9.254 2.332701 2.578286 4.500 1 0.000
1250.00 930.00 99.990001 0.6543036211028088 0.665936 253.664477 -1301026.414594 41.993688 -2203.792667 7383.337254 134.712514 -9.349 -9.349 2.339480 2.463984 4.639 1 0.000
1250.00 920.00 99.990001 0.6168207046796521 0.620604 251.828698 -1303225.991485 42.337453 -2708.567898 8106.808649 134.005429 -9.445 -9.445 2.347341 2.385290 4.782 1 0.000
1250.00 910.00 99.990001 0.5818156496511543 0.579024 250.039266 -1305352.144714 42.642238 -3170.223004 8806.862606 133.367625 -9.542 -9.542 2.356165 2.329307 4.930 1 0.000
1250.00 900.00 99.990001 0.5495038998805544 0.541306 248.298088 -1307403.553998 42.905085 -3584.362260 9474.836414 132.796266 -9.640 -9.640 2.365786 2.288844 5.081 1 0.000
1250.00 890.00 99.990001 0.5200122238123654 0.507453 246.605842 -1309380.391607 43.124699 -3948.484419 10104.060963 132.287772 -9.740 -9.740 2.376010 2.259504 5.238 1 0.000
1250.00 880.00 99.990001 0.4933625550545450 0.477348 244.961601 -1311284.708545 43.301512 -4262.169018 10690.410287 131.837818 -9.842 -9.842 2.386628 2.238402 5.397 1 0.000
1250.00 870.00 99.990001 0.4694776518303052 0.450775 243.362861 -1313120.338395 43.437440 -4526.877381 11232.330803 131.441578 -9.945 -9.945 2.397438 2.223544 5.560 1 0.000
1250.00 860.00 99.990001 0.4479996228903824 0.427171 241.798108 -1314901.279976 43.540411 -4751.391243 11739.947383 131.092720 -10.050 -10.050 2.408461 2.212986 5.736 1 0.000
1250.00 850.00 99.990001 0.4288504582025755 0.406394 240.267138 -1316628.474252 43.610994 -4935.899400 12210.336571 130.787824 -10.156 -10.156 2.419462 2.206035 5.920 1 0.000
